model_name,r.squared,adj.r.squared,AIC,BIC,N
Model A Full,0.21171570506675313,0.19569366655184972,-525.160734582553,-500.45473096997307,252
Model B Full,0.21076395761819297,0.19472257464295306,-524.8566619434066,-500.1506583308267,252
Model A Restricted,0.2567603627493672,0.24477262666467958,-393.2075291203874,-376.97240875958494,190
Model B Restricted,0.2547866347024823,0.24276706429445782,-392.7036387750899,-376.4685184142875,190
Model C Full,0.3116863194908878,0.2976962040333856,-559.3354979037512,-534.6294942911712,252
Model C Restricted,0.3536170896524549,0.34319155884039765,-419.73655474238467,-403.5014343815822,190
Model D Full,0.21287649293324842,0.1902950808452677,-521.5320906148407,-489.76722882723794,252
Model D Restricted,0.25654868860386887,0.23634620731593048,-389.15342495307135,-366.4242564479479,190
Model E Full,0.22393852557971586,0.20477651386563467,-523.0404080185305,-494.8687206756325,250
Model E Restricted,0.2731881686695484,0.25730157126341835,-391.2384918672764,-371.81984009029674,188
Model F Full,0.32638616431258893,0.3069014665860935,-556.4340915250588,-524.7409432642985,250
Model F Restricted,0.3703031131632723,0.35300374814028534,-416.20315203602274,-393.54805829621307,188
