player_name,position,signing_team,previous_team,contract_value,aav,contract_years,ufa_rfa_type,spotrac_year,position_filter,duplicate_count
Joe Thornton,C,SJS,SJS,"$8,000,000",NA,1,NA,2017,c,2
Joe Thornton,C,SJS,SJS,"$8,000,000",NA,1,NA,2017,c,2
Dennis Rasmussen,C,ANA,CHI,"$725,000",NA,1,NA,2017,c,2
Dennis Rasmussen,C,ANA,CHI,"$725,000",NA,1,NA,2017,c,2
Brooks Laich,C,LAK,LAK,"$650,000",NA,1,NA,2017,c,2
Brooks Laich,C,LAK,LAK,"$650,000",NA,1,NA,2017,c,2
Anton Rodin,RW,VAN,VAN,"$700,000",NA,1,NA,2017,rw,2
Anton Rodin,RW,VAN,VAN,"$700,000",NA,1,NA,2017,rw,2
Filip Chlapik,C,OTT,OTT,"$700,000",NA,1,NA,2020,c,2
Filip Chlapik,C,OTT,OTT,"$700,000",NA,1,NA,2020,c,2
Mikko Lehtonen,D,CBJ,CBJ,"$900,000",NA,1,NA,2021,d,2
Mikko Lehtonen,D,CBJ,CBJ,"$900,000",NA,1,NA,2021,d,2
Matthew Benning,D,SJS,NSH,"$5,000,000",NA,4,NA,2022,d,2
Matthew Benning,D,SJS,NSH,"$5,000,000",NA,4,NA,2022,d,2
